libelleparcours;libellepointorigine;libellepointdestination;idtempsparcoursvlentree;idtempsparcoursvlsortie;metaparcours;idmetaparcourspereentree;idmetaparcoursperesortie;longueur;tempsparcoursentree;tempsparcourssortie;vitesseentree;vitessesortie;lat_epsg4171;long_epsg4171;observation;gid
PontPoincaré / CCPartDieu;Pont Poincaré;Centre Commercial Part-Dieu;90;;False;;;3906;420;;33,00;;45.772499999753634;4.858770000422067;;130
ÉchangeurTassin_Cordeliers;Échangeur Tassin;Cordeliers;32;132;False;1022;1023;4900;480;360;40,50;50,00;45.753985942456794;4.818483636817616;;21
Aéroport de Lyon-St Exupéry / Meyzieu;Aéroport de Lyon-St Exupéry;Meyzieu;66;166;False;;;7000;480;480;52,50;52,50;45.74773000013575;5.059600000244716;;104
Brignais / Cordeliers;Brignais;Cordeliers;1024;1025;True;;;16100;840;840;70,00;70,00;45.689322942736354;4.814763632678098;;45
Meyzieu / Pusignan ;Meyzieu;Pusignan ;64;164;False;;;3700;180;180;74,00;74,00;45.75241999978136;5.0120199995213275;;102
Beaunant_EtoileAlaï;Beaunant;Etoile d'Alaï;27;127;False;1020;1021;3300;300;300;39,60;39,60;45.737297001309706;4.774218002262928;;16
PortedesAlpes_PortedesEssarts ;Porte des Alpes;Porte des Essarts ;15;115;False;1012;1013;2900;120;120;90,00;90,00;45.726181001228234;4.9184570020163605;;26
NeuvillesurSaône_FontainesurSaône;Neuville-sur-Saône;Fontaine-sur-Saône;23;123;False;1018;1019;5900;420;420;50,60;50,60;45.850979001656405;4.833080000993195;;12
Le Velin/Saint-Priest;Le Velin ;Saint-Priest;43;143;False;1030;1031;4000;180;180;90,00;90,00;45.67198196791076;4.940965114362651;;64
Genas / Aéroport de Lyon-St Exupéry;Genas;Aéroport de Lyon-St Exupéry;76;176;False;;;4100;240;240;61,50;61,50;45.719840000357;5.053680000551552;;114
GorgedeLoup / TassinHorloge;Gorge de Loup;Tassin l'Horloge;247;;False;;;2800;360;;28,00;;45.76358999995448;4.79611000007103;;166
Zola4aout / Charpennes;Zola 4 aout;Charpennes;289;;False;;;3100;420;;27,00;;45.76895000005259;4.882650000606717;;173
Noeud-des-îles_PortedeCroix-Luizet;Noeud des îles;Porte de Croix-Luizet;10;110;False;1006;1007;3400;120;120;99,00;99,00;45.79029100134984;4.905989002434006;;8
MermozTerray / GarePartDieu;Mermoz Terray;Gare Part Dieu;286;;False;;;5300;600;;32,00;;45.738359999906166;4.867260000176779;;179
Charbonnières (Av. Jean Bergeron) / Tassin (11 novembre);Charbonnières (Av. Jean Bergeron);Tassin (11 novembre);311;312;False;;;3000;300;300;36,00;36,00;45.765229999676194;4.753760000001652;;194
Pont Gallieni / Mermoz A43;Pont Galliéni;Mermoz A43;82;;False;;;5600;1020;;20,00;;45.73761000016571;4.865549999396901;;119
Givors / Communay;Givors;Communay;53;153;False;;;6600;240;240;99,00;99,00;45.588664009169236;4.8130130395977035;;186
Le Velin/Noeud des îles;Le Velin;Noeud des îles;1030;1031;True;;;20600;900;900;90,00;90,00;45.72686654443194;4.976044163813311;;69
Lyon 9 (M6) / Tassin (RD307);Lyon 9 (M6);Tassin (RD307);313;;False;;;3100;360;;31,00;;45.764080000022524;4.782600000596793;;195
